"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","This will create new product","SUCCESS","2022-06-07T01:55:29.815+01:00[Europe/London]","0.0","3.62"
"Products CRUD test","Verify if the product was added to the application","SUCCESS","2022-06-07T01:55:33.452+01:00[Europe/London]","0.0","0.06"
"Products CRUD test","Update product id ","FAILURE","2022-06-07T01:55:33.514+01:00[Europe/London]","0.0","0.09"
"Products CRUD test","Delete the product by ID","SUCCESS","2022-06-07T01:55:33.608+01:00[Europe/London]","0.0","0.08"
"Services CRUD test with steps","Verify if the Product was added to the application","FAILURE","2022-06-07T01:55:35.099+01:00[Europe/London]","0.0","0.03"
"Services CRUD test with steps","Delete the product by ID","FAILURE","2022-06-07T01:55:35.239+01:00[Europe/London]","0.0","0.02"
"Services CRUD test with steps","This will create a New Service","SUCCESS","2022-06-07T01:55:35.271+01:00[Europe/London]","0.0","0.05"
"Services CRUD test with steps","Update the product information","SUCCESS","2022-06-07T01:55:35.317+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","Update the store information and verify the updated information","ERROR","2022-06-07T01:55:35.413+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","Delete the store and verify if that store is deleted!","ERROR","2022-06-07T01:55:35.476+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test","Verify if the stores was added to the application","ERROR","2022-06-07T01:55:35.507+01:00[Europe/London]","0.0","0.02"
"Stores CRUD test","This will create new list into stores","FAILURE","2022-06-07T01:55:35.523+01:00[Europe/London]","0.0","0.03"
